SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customer_notes,Churn
0,55,96.22765678011304,7326.53011452981,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,Customer has issues with bills.,0
1,36,81.57443187026887,3145.5058033279183,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,No issues reported.,1
0,37,116.96707049100561,1894.5471947698875,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,Customer has issues with bills.,1
0,14,87.16050195153626,5297.4033355999945,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,Customer has issues with bills.,0
0,27,116.28594024099999,4594.148862589858,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,No issues reported.,1
0,31,24.017541698012618,2694.114933257806,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,No issues reported.,0
0,44,32.21551725959235,2761.2946123476545,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,No issues reported.,0
1,68,63.621614023049304,3196.665130940242,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,Customer has issues with bills.,0
0,48,56.93038581887367,2342.0452609784556,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,No issues reported.,0
0,57,96.9148515563813,5687.219345221293,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,No issues reported.,0
0,22,34.39170966015497,5217.229949517458,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,No issues reported.,1
1,4,116.3475655007046,3536.4270282121697,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,Customer has issues with bills.,1
1,72,49.91412046372186,3193.8265584009264,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,No issues reported.,0
0,46,61.35683262788602,2931.9979692118263,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,No issues reported.,0
